Brand,Model,Selling_Price,KM_Driven
Maruti,Maruti Swift ZDi BSIV,665000,46000
Hyundai,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,465000,70000
Maruti,Maruti Alto LXi,160000,60000
Mahindra,Mahindra Jeep CL 500 MDI,250000,35000
Honda,Honda City i DTEC VX,675000,90000
Maruti,Maruti Wagon R VXI BS IV,300000,80000
Tata,Tata Indica DLS,70000,80000
Hyundai,Hyundai EON Magna Plus,240000,73300
Toyota,Toyota Etios GD,525000,92000
Maruti,Maruti Alto LXi,151000,66764
Maruti,Maruti Alto LXi,140000,100000
Chevrolet,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,280000,350000
Toyota,Toyota Corolla Altis Diesel D4DG,350000,230000
Mahindra,Mahindra Scorpio 1.99 S6 Plus,570000,60000
Hyundai,Hyundai EON Magna Plus,300000,31000
Tata,Tata Indigo Classic Dicor,100000,39000
Toyota,Toyota Innova 2.5 V Diesel 8-seater,500000,120000
Tata,Tata Indica Vista Quadrajet LS,125000,166000
Maruti,Maruti Swift 1.3 VXi,130000,110000
Ford,Ford EcoSport 1.5 Diesel Titanium BSIV,925000,35000
Maruti,Maruti Ciaz 1.3 Delta,750000,60000
Honda,Honda Civic 1.8 V AT,200000,54000
Hyundai,Hyundai i10 Sportz 1.2,248000,63000
Skoda,Skoda Rapid 1.5 TDI Elegance,450000,120000
Hyundai,Hyundai Getz GLS,80000,120000
Nissan,Nissan Terrano XL,650000,76000
Hyundai,Hyundai Grand i10 CRDi Sportz,450000,80000
Hyundai,Hyundai Elite i20 Diesel Era,650000,25000
Honda,Honda Amaze S i-VTEC,495000,11958
Honda,Honda Brio S MT,371000,20000
Hyundai,Hyundai Creta 1.6 SX Option,1025000,9000
Mercedes-Benz,Mercedes-Benz S-Class S 350d Connoisseurs Edition,8150000,6500
Mahindra,Mahindra XUV500 W8 2WD,750000,70000
Renault,Renault Duster 85PS Diesel RxL Optional,600000,120000
Hyundai,Hyundai Santro Xing XO,80000,58000
Mahindra,Mahindra Bolero 2011-2019 SLE,325000,62200
Audi,Audi A6 2.0 TDI Premium Plus,1470000,34000
Fiat,Fiat Avventura MULTIJET Emotion,350000,53000
Audi,Audi A8 4.2 TDI,2800000,49000
Datsun,Datsun RediGO 1.0 S,210000,15000
Volkswagen,Volkswagen Jetta 1.4 TSI Comfortline,450000,50000
Audi,Audi A4 2.0 TDI 177 Bhp Premium Plus,1150000,53000
Honda,Honda Civic 1.8 V AT,210000,63500
Mercedes-Benz,Mercedes-Benz E-Class Exclusive E 200 BSIV,4500000,9800
BMW,BMW X1 sDrive 20d xLine,2750000,13000
Volvo,Volvo V40 D3 R Design,1975000,21000
Maruti,Maruti SX4 Zxi BSIII,175000,29173
BMW,BMW 7 Series 730Ld,2500000,48000
Mahindra,Mahindra Bolero Power Plus SLX,628000,120000
Hyundai,Hyundai Sonata CRDi M/T,600000,100000
Nissan,Nissan Micra Active XV Petrol,399000,30000
Mahindra,Mahindra Xylo D4,750000,87000
Hyundai,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,750000,15000
Renault,Renault KWID RXT,315000,16000
Mahindra,Mahindra Xylo E4 BS III,600000,60000
Maruti,Maruti Wagon R LXI Minor,100000,60000
Maruti,Maruti SX4 ZXI MT BSIV,250000,110000
Renault,Renault KWID RXT,350000,25000
Hyundai,Hyundai Creta 1.4 CRDi S,780000,60000
Maruti,Maruti Swift Dzire VDI,434000,79350
Hyundai,Hyundai Verna 1.6 VTVT AT S Option,690000,80000
Mahindra,Mahindra Scorpio LX BSIV,555000,90000
Maruti,Maruti SX4 Vxi BSIII,120000,90000
Maruti,Maruti Ertiga VDI,500000,120000
Chevrolet,Chevrolet Beat Diesel,165000,60000
Maruti,Maruti Zen LX,95000,50000
Maruti,Maruti Baleno Delta 1.2,550000,20000
Maruti,Maruti Swift Vdi BSIII,100000,110000
Tata,Tata Nano Lx BSIV,100000,50000
Toyota,Toyota Innova 2.5 GX (Diesel) 8 Seater,500000,100000
Maruti,Maruti Ertiga SHVS VDI,800000,70000
Hyundai,Hyundai Creta 1.6 CRDi SX,840000,70000
Honda,Honda Amaze S i-Vtech,490000,50000
Tata,Tata Indica Vista Aqua 1.4 TDI,125000,81000
Chevrolet,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,400000,120000
Chevrolet,Chevrolet Cruze LTZ,1000000,3600
Ford,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,530000,14272
Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,840000,49213
Hyundai,Hyundai i10 Sportz 1.1L,229999,40000
Maruti,Maruti 800 Std,40000,40000
Chevrolet,Chevrolet Spark 1.0 LS,130000,80000
Hyundai,Hyundai EON Era Plus,200000,70000
Tata,Tata Indica Vista Aqua TDI BSIII,120000,70000
Hyundai,Hyundai Santro LP zipPlus,75000,57000
Tata,Tata Bolt Quadrajet XE,250000,120000
Maruti,Maruti 800 AC BSIII,100000,30000
Hyundai,Hyundai EON Era Plus,280000,3240
Hyundai,Hyundai i20 Magna 1.2,540000,5000
Hyundai,Hyundai i20 1.2 Asta,700000,10000
Maruti,Maruti Ciaz VDi Plus,525000,100000
Hyundai,Hyundai i20 Asta 1.4 CRDi,430000,80000
Hyundai,Hyundai Santro LE,65000,70000
Maruti,Maruti Vitara Brezza VDi,800000,35000
Hyundai,Hyundai Santro Xing XL eRLX Euro III,75000,114000
Hyundai,Hyundai Getz 1.3 GLS,210000,53772
Mahindra,Mahindra Quanto C8,195000,140000
Chevrolet,Chevrolet Tavera Neo 3 LS 7 C BSIII,400000,120000
Hyundai,Hyundai EON Magna Plus,170000,60000
Renault,Renault KWID RXT,225000,25000
Maruti,Maruti Wagon R DUO LPG,210000,90000
Maruti,Maruti Wagon R LXI,240000,120000
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,300000,175000
Chevrolet,Chevrolet Spark 1.0 LS,99000,100000
Honda,Honda City i VTEC SV,620000,36000
Honda,Honda Amaze VX i-DTEC,500000,30000
Jaguar,Jaguar XJ 5.0 L V8 Supercharged,2550000,40000
Honda,Honda Brio E MT,260000,70000
Maruti,Maruti Swift VVT ZXI,550000,60000
Tata,Tata Indigo CR4,150000,155500
Hyundai,Hyundai i10 Asta AT,350000,50000
Chevrolet,Chevrolet Beat LT,320000,40000
Maruti,Maruti Swift VDI BSIV,400000,100000
Maruti,Maruti Alto LXi,175000,80000
Chevrolet,Chevrolet Beat LT,120000,90000
Renault,Renault Duster 110PS Diesel RxZ,320000,90000
Hyundai,Hyundai Santro Xing XG,70000,110000
Maruti,Maruti Swift Dzire ZXI Plus,810000,15000
Maruti,Maruti 800 AC,95000,100000
Maruti,Maruti Alto K10 LXI CNG,282000,40000
Maruti,Maruti 800 Std BSII,80000,60000
Tata,Tata Nano LX SE,72000,25000
Hyundai,Hyundai i20 Magna 1.2,600000,25000
Skoda,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,640000,23000
Maruti,Maruti Alto K10 VXI,380000,22155
Maruti,Maruti Ciaz 1.4 Delta,650000,70000
Maruti,Maruti Alto LX,150000,60000
Hyundai,Hyundai i20 Asta,280000,110000
Tata,Tata Nexon 1.2 Revotron XM,430000,30000
Mahindra,Mahindra Bolero Power Plus SLX,800000,15000
Maruti,Maruti Zen D,75000,100000
Volkswagen,Volkswagen Vento Celeste 1.5 TDI Highline AT,650000,70000
Maruti,Maruti Eeco 7 Seater Standard BSIV,390000,24000
Honda,Honda City 1.5 EXI,100000,120000
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,1500000,35000
Maruti,Maruti SX4 Zxi with Leather BSIII,175000,78380
Renault,Renault Duster 110PS Diesel RxZ,434999,110000
Ford,Ford Figo Diesel Titanium,170000,90000
Ford,Ford Figo Diesel Titanium,190000,90000
Maruti,Maruti Swift Dzire VDi,250000,150000
Mahindra,Mahindra Xylo E4,229999,230000
Maruti,Maruti Esteem Vxi - BSIII,140000,70000
Maruti,Maruti Swift VDI BSIV,600000,80362
Hyundai,Hyundai i20 1.2 Sportz,280000,110000
Chevrolet,Chevrolet Beat Diesel LT,150000,60000
Chevrolet,Chevrolet Cruze LTZ AT,650000,50000
Nissan,Nissan Micra XL,210000,40000
BMW,BMW 5 Series 520d Luxury Line,2900000,40000
Chevrolet,Chevrolet Enjoy 1.3 TCDi LS 8,425000,20000
Hyundai,Hyundai EON Era Plus Option,265000,55000
Fiat,Fiat Linea T Jet Emotion,890000,1136
Renault,Renault Scala RxL,365000,55000
Ford,Ford Figo Petrol Titanium,350000,43000
Maruti,Maruti Ciaz ZDi SHVS,685000,60000
Skoda,Skoda Rapid 1.5 TDI Ambition BSIV,940000,2650
Mahindra,Mahindra XUV500 W6 2WD,1000000,40000
Mahindra,Mahindra XUV300 W8 Option,1150000,15000
Maruti,Maruti Ertiga SHVS ZDI,450000,115962
Nissan,Nissan Terrano XE D,590000,65000
Maruti,Maruti S-Cross Facelift,800000,40000
Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),385000,58000
Mercedes-Benz,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2000000,15000
Hyundai,Hyundai EON Era Plus,235000,54000
Volkswagen,Volkswagen Ameo 1.5 TDI Highline,640000,56000
Maruti,Maruti Alto LX,52000,120000
Maruti,Maruti Omni LPG CARGO BSIII W IMMOBILISER,80000,90000
Maruti,Maruti Alto LX,140000,70000
Hyundai,Hyundai Verna i (Petrol),120000,90000
Mahindra,Mahindra Renault Logan 1.5 DLS,89999,213000
Chevrolet,Chevrolet Optra Magnum 2.0 LS BSIII,180000,120000
Mahindra,Mahindra Scorpio S11 BSIV,1500000,20000
Hyundai,Hyundai i20 Active 1.2 SX,700000,10000
Maruti,Maruti SX4 Celebration Diesel,285000,80000
Hyundai,Hyundai Grand i10 Magna,390000,90000
Maruti,Maruti Alto LXi BSIII,125000,80000
Maruti,Maruti SX4 Zxi with Leather BSIII,225000,60000
Hyundai,Hyundai i10 Era,175000,139000
Toyota,Toyota Innova 2.5 V Diesel 7-seater,1075000,160000
Honda,Honda Mobilio V i DTEC,300000,150000
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,163000
Tata,Tata Indica V2 2001-2011 DLS BSIII,90000,120000
Tata,Tata Indica Vista TDI LS,120000,120000
Chevrolet,Chevrolet Beat Diesel LS,220000,100000
Tata,Tata Zest Quadrajet 1.3 75PS XE,300000,140000
Skoda,Skoda Fabia 1.2L Diesel Ambiente,180000,87000
Maruti,Maruti 800 Std,170000,70000
Ford,Ford Figo Petrol Titanium,300000,50000
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,1050000,70000
Honda,Honda Mobilio V i DTEC,300000,150000
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,465000,25000
Chevrolet,Chevrolet Beat Diesel LT,130000,80000
Datsun,Datsun GO Plus T Option Petrol,434999,10000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,500000,32000
Maruti,Maruti Omni MPI STD BSIV,200000,10000
Maruti,Maruti Baleno Alpha 1.2,625000,52000
Ford,Ford Fiesta Classic 1.4 SXI Duratorq,110000,120000
Hyundai,Hyundai Elite i20 Asta Option BSIV,800000,11240
Hyundai,Hyundai Grand i10 CRDi Magna,490000,66000
Maruti,Maruti Ertiga SHVS ZDI,880000,64000
Hyundai,Hyundai Santro Xing GL Plus,290000,49000
Tata,Tata Sumo GX TC 7 Str BSIII,115999,100000
Renault,Renault KWID RXT,360000,26500
Maruti,Maruti 800 AC,65000,100000
Maruti,Maruti Vitara Brezza LDi Option,685000,72000
Honda,Honda Jazz S,300000,50000
Hyundai,Hyundai i20 1.4 Sportz,680000,44000
Maruti,Maruti Ertiga SHVS ZDI Plus,1000000,60000
Tata,Tata Sumo SE Plus BSIII,100000,120000
Mahindra,Mahindra Xylo E4,160000,130000
Maruti,Maruti Swift ZDi BSIV,450000,70000
Maruti,Maruti Ertiga VXI,600000,20000
Hyundai,Hyundai i20 1.4 Magna ABS,180000,60000
Maruti,Maruti Alto LXi,100000,195000
Maruti,Maruti Alto LXi,120000,90000
Hyundai,Hyundai Getz GL,130000,80000
Maruti,Maruti Wagon R LX BS IV,160000,155000
Mahindra,Mahindra Bolero Power Plus SLX,860000,35000
Hyundai,Hyundai i20 1.2 Spotz,650000,20000
Maruti,Maruti Wagon R LXI Minor,100000,80000
Maruti,Maruti Alto 800 VXI,282000,20000
Hyundai,Hyundai i20 Asta (o),300000,50000
Hyundai,Hyundai i20 Asta,270000,110000
Hyundai,Hyundai Verna 1.6 SX CRDi (O),550000,29000
Mahindra,Mahindra Xylo D2 BSIV,450000,120000
Mahindra,Mahindra Bolero SLX 2WD BSIII,430000,70000
Maruti,Maruti Ertiga VXI ABS,350000,40000
Honda,Honda Brio 1.2 E MT,350000,20000
Toyota,Toyota Etios Liva G,229999,50000
Maruti,Maruti Alto 800 LXI,110000,50000
Maruti,Maruti Swift Dzire 1.2 Vxi BSIV,395000,49000
Mahindra,Mahindra Scorpio VLS AT 2.2 mHAWK,650000,70000
Mahindra,Mahindra Bolero SLX,350000,90000
Mahindra,Mahindra XUV500 W11 Option AWD,1400000,25000
Tata,Tata Tiago 1.2 Revotron XZ,360000,4000
Mahindra,Mahindra Marazzo M8 8Str,1300000,10000
Renault,Renault Duster 110PS Diesel RxL,800000,15000
Hyundai,Hyundai EON Magna Plus,229999,30000
Maruti,Maruti Wagon R VXI,315000,41000
Chevrolet,Chevrolet Spark 1.0 LT,125000,28000
Maruti,Maruti Baleno Alpha,700000,16000
Hyundai,Hyundai EON 1.0 Kappa Magna Plus,160000,70000
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,530000,10832
Ford,Ford Figo Aspire Facelift,624000,14681
Hyundai,Hyundai i10 Era,250000,50000
Mahindra,Mahindra Bolero SLX,585000,51000
Hyundai,Hyundai Verna 1.4 VTVT,500000,25000
Chevrolet,Chevrolet Sail 1.2 LT ABS,350000,30000
Honda,Honda City i-DTEC SV,495000,80000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,500000,50000
Mahindra,Mahindra Bolero Power Plus Plus AC BSIV PS,430000,200000
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option,345000,44000
Maruti,Maruti Baleno Sigma 1.2,500000,10000
Tata,Tata Tiago 1.2 Revotron XZ,425000,19600
Maruti,Maruti Wagon R LXI,80000,40000
Chevrolet,Chevrolet Beat Diesel LS,106000,50000
Maruti,Maruti A-Star Vxi,180000,46730
Datsun,Datsun GO A,250000,40000
Skoda,Skoda Yeti Ambition 4WD,350000,80000
Maruti,Maruti Zen LXi BSII,60000,80000
Hyundai,Hyundai Verna CRDi 1.6 EX,900000,24000
Ford,Ford Aspire Titanium Diesel BSIV,700000,21170
BMW,BMW 3 Series 320d Sport,2000000,167223
Maruti,Maruti Ertiga SHVS ZDI Plus,1000000,40000
BMW,BMW X1 sDrive 20d Exclusive,1375000,60000
Toyota,Toyota Innova Crysta 2.4 VX MT,1800000,141440
Chevrolet,Chevrolet Tavera Neo 3 10 Seats BSIV,160000,120000
Mitsubishi,Mitsubishi Outlander 2.4,525000,140000
Mahindra,Mahindra XUV500 W8 2WD,850000,212814
Maruti,Maruti Baleno Alpha 1.3,800000,30000
Ford,Ford Figo Aspire 1.5 TDCi Titanium,700000,88635
Maruti,Maruti Swift Dzire VDI,800000,25000
Hyundai,Hyundai i20 1.2 Spotz,575000,20000
Renault,Renault Duster 110PS Diesel RxZ,350000,110000
Maruti,Maruti Swift Vdi BSIII,250000,120000
Ford,Ford Endeavour Titanium 4X2,600000,149674
Mahindra,Mahindra Scorpio 2.6 Turbo 9 Str,370000,100000
Maruti,Maruti Baleno Vxi,80000,120000
Tata,Tata Indica DLX,50000,120000
Hyundai,Hyundai Verna CRDi 1.6 EX,900000,25000
Maruti,Maruti Wagon R VXI BS IV,300000,35000
Tata,Tata Indica LSI,125000,40000
Maruti,Maruti Swift Dzire VDI,490000,60000
Toyota,Toyota Etios Liva GD,300000,50000
Tata,Tata Nano STD,55000,25000
Hyundai,Hyundai Grand i10 Sportz,350000,25000
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,755000,8000
Maruti,Maruti Ertiga SHVS VDI,720000,60000
Mahindra,Mahindra Bolero SLX,229999,200000
Mahindra,Mahindra Scorpio S7 140 BSIV,1100000,20000
Volkswagen,Volkswagen Polo Petrol Comfortline 1.2L,400000,100000
Hyundai,Hyundai Xcent 1.1 CRDi Base,350000,70000
Chevrolet,Chevrolet Beat Diesel PS,159000,68000
Maruti,Maruti Swift ZXi BSIV,550000,38000
Maruti,Maruti Ritz VDi,335000,80000
Tata,Tata Indigo CS Emax CNG GLX,185000,72000
Maruti,Maruti Eeco 5 STR With AC Plus HTR CNG,229999,75000
Maruti,Maruti Estilo LXI,225000,43000
Maruti,Maruti Swift VXI with ABS,250000,120000
Tata,Tata Zest Quadrajet 1.3 XM,400000,100000
Maruti,Maruti Swift VDI BSIV,470000,163000
Maruti,Maruti Alto K10 VXI AGS Optional,300000,25000
Maruti,Maruti Alto LX,145000,25000
Maruti,Maruti SX4 Vxi BSIII,100000,90000
Mahindra,Mahindra Scorpio SLE BSIV,500000,70000
Hyundai,Hyundai Santro Xing GLS CNG,130000,98000
Chevrolet,Chevrolet Cruze LTZ,240000,81925
Ford,Ford Figo Diesel Celebration Edition,150000,80000
Renault,Renault KWID RXT Optional,270000,40000
Maruti,Maruti Swift Dzire VDI,400000,90000
Hyundai,Hyundai EON Era Plus,200000,46000
Mahindra,Mahindra XUV500 W6 2WD,550000,80000
Renault,Renault KWID 1.0 RXT Optional,325000,35000
Skoda,Skoda Rapid 1.5 TDI AT Style BSIV,860000,82080
Mahindra,Mahindra XUV500 W8 2WD,600000,200000
Chevrolet,Chevrolet Spark 1.0,125000,70000
Maruti,Maruti 800 AC,60000,40000
Chevrolet,Chevrolet Tavera Neo 3 10 Seats BSIV,300000,120000
Ford,Ford Fiesta 1.6 ZXi Duratec,190000,60000
Maruti,Maruti Ertiga VDI,400000,110000
Tata,Tata Manza Aura Quadrajet BS IV,260000,97000
Maruti,Maruti Swift VVT VXI,400000,30000
Hyundai,Hyundai i20 Sportz Petrol,250000,40000
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,600000,10000
Maruti,Maruti Zen Estilo VXI BSIV,175000,52047
Toyota,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,450000,200000
Tata,Tata Tiago 1.2 Revotron XZA,350000,15000
Maruti,Maruti Vitara Brezza ZDi,800000,50000
Maruti,Maruti Swift VXI BSIII,250000,70000
Maruti,Maruti Swift VXI BSIV,600000,10000
Maruti,Maruti Swift VDI BSIV,600000,90000
Maruti,Maruti Alto 800 LXI,130000,40000
Maruti,Maruti Wagon R LXI,90000,62009
Hyundai,Hyundai i20 Active 1.2 S,595000,33100
Hyundai,Hyundai EON Era Plus,190000,40000
Hyundai,Hyundai Santro GLS I - Euro I,50000,120000
Maruti,Maruti Wagon R LXI Minor,95000,80000
Tata,Tata Safari Storme VX,1000000,70000
Mahindra,Mahindra Scorpio REV 116,220000,220000
Mahindra,Mahindra Bolero SLX,400000,50000
Datsun,Datsun GO Plus A,315000,45000
Toyota,Toyota Fortuner 4x4 MT,1000000,110000
Ford,Ford Ecosport 1.5 DV5 MT Titanium,500000,49000
Mahindra,Mahindra XUV500 W11 AT BSIV,1600000,35000
Mahindra,Mahindra Supro VX 8 Str,500000,160000
Maruti,Maruti Alto LX,70000,180000
Maruti,Maruti 800 AC,105000,60000
Ford,Ford Endeavour 2.5L 4X2 MT,400000,110000
Maruti,Maruti Wagon R LXI,80000,60000
Maruti,Maruti Alto 800 VXI,300000,30000
Mahindra,Mahindra KUV 100 D75 K2,409999,40000
Maruti,Maruti Swift Glam,250000,70000
Tata,Tata New Safari DICOR 2.2 EX 4x2,250000,120000
Maruti,Maruti Swift Dzire VDI,215000,80000
Toyota,Toyota Fortuner 4x4 MT,1400000,120000
Honda,Honda Brio 1.2 VX MT,475000,20000
Honda,Honda Brio 1.2 VX MT,475000,22000
Chevrolet,Chevrolet Spark 1.0 LS,75000,35000
Chevrolet,Chevrolet Sail Hatchback LS ABS,200000,120000
Tata,Tata Tiago NRG Petrol,575000,8000
Maruti,Maruti Ritz VDi,150000,40000
Maruti,Maruti Vitara Brezza ZDi Plus,850000,10000
Hyundai,Hyundai Santro Era,350000,30000
Ford,Ford Endeavour 2.5L 4X2 MT,550000,54000
Hyundai,Hyundai Verna 1.4 VTVT,330000,80577
Honda,Honda City i-DTEC V,1044999,25000
Hyundai,Hyundai Verna 1.6 CRDI,300000,127500
Hyundai,Hyundai EON D Lite Plus,235000,40903
Ford,Ford Figo Petrol Titanium,120000,60000
Maruti,Maruti Wagon R VXI,130000,46000
Ford,Ford Endeavour 4x4 XLT,275000,22288
Volkswagen,Volkswagen Jetta 2.0 TDI Trendline,270000,180000
Volkswagen,Volkswagen Polo 1.5 TDI Highline,500000,30000
Hyundai,Hyundai Grand i10 Sportz,400000,61690
Hyundai,Hyundai i20 Asta 1.2,600000,64484
Audi,Audi Q5 2.0 TDI,1350000,90000
Renault,Renault Duster 85PS Diesel RxE,400000,75976
Ford,Ford Figo Diesel Titanium,220000,70000
Honda,Honda Brio E MT,300000,85962
Maruti,Maruti Omni E MPI STD BS IV,250000,120000
Honda,Honda Mobilio V i DTEC,600000,120000
Honda,Honda Brio S Option AT,285000,75000
Honda,Honda Accord 2.4 MT,350000,57035
Mahindra,Mahindra Bolero SLX,170000,70000
Ford,Ford Figo 1.2P Ambiente MT,229999,45000
Mahindra,Mahindra XUV500 W6 2WD,500000,72104
Tata,Tata Nano Lx,75000,15000
Hyundai,Hyundai i20 Active 1.2 SX,600000,30000
Tata,Tata Indigo LS Dicor,220000,80000
Tata,Tata Indica Vista Terra 1.4 TDI,150000,164000
Maruti,Maruti Alto LX,65000,124439
Maruti,Maruti Zen VXI,120000,77000
Maruti,Maruti Swift Dzire VDI,240000,90000
Renault,Renault KWID 1.0 RXT Optional,390000,30000
Chevrolet,Chevrolet Beat LS,180000,50000
Maruti,Maruti Swift VDI,320000,80000
Maruti,Maruti Alto 800 LXI,310000,5000
Maruti,Maruti Wagon R AMT VXI,420000,24000
Tata,Tata Tiago NRG Petrol,550000,10000
Maruti,Maruti Ertiga SHVS VDI,550000,78000
Mahindra,Mahindra TUV 300 T4 Plus,760000,50000
Maruti,Maruti 800 AC BSII,43000,100000
Maruti,Maruti Omni MPI STD BSIV,250000,20000
Hyundai,Hyundai Santro Magna BSIV,500000,1250
Tata,Tata Zest Revotron 1.2 XT,380000,17152
Mahindra,Mahindra XUV500 W11 Option AT AWD,1850000,5000
Volkswagen,Volkswagen Polo Diesel Trendline 1.2L,350000,77000
Hyundai,Hyundai Verna CRDi,195000,90000
Chevrolet,Chevrolet Beat LS,225000,80000
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,1125000,65000
Tata,Tata Indica Vista Quadrajet LX,133000,80000
Hyundai,Hyundai EON Era Plus,200000,24005
Maruti,Maruti Vitara Brezza ZDi Plus,940000,20000
Renault,Renault Duster 85PS Diesel RxL,400000,120000
Hyundai,Hyundai i10 Era 1.1,120000,120000
Maruti,Maruti Swift Dzire ZDI,625000,80000
Maruti,Maruti Swift 1.3 VXi,110000,80000
Renault,Renault Duster 110PS Diesel RxZ,490000,100000
Maruti,Maruti Alto LX,140000,120000
Ford,Ford Figo Diesel ZXI,175000,149000
Maruti,Maruti Wagon R LXI BSIII,90000,65000
Maruti,Maruti Swift Ldi BSIV,275000,100000
Volkswagen,Volkswagen Vento Diesel Highline,300000,65000
Datsun,Datsun GO Plus T Option BSIV,270000,19000
Chevrolet,Chevrolet Beat LT,130000,80000
Maruti,Maruti Alto K10 VXI Airbag,275000,30000
Maruti,Maruti Swift VDI,352000,109000
Hyundai,Hyundai EON LPG Magna Plus,180000,90000
Maruti,Maruti Alto LX,150000,90000
Volkswagen,Volkswagen Vento Diesel Highline,300000,65000
Maruti,Maruti Swift Vdi BSIII,300000,110000
Mahindra,Mahindra Bolero DI DX 7 Seater,225000,120000
Honda,Honda Mobilio V i DTEC,600000,44000
Maruti,Maruti Ertiga BSIV ZXI,500000,80000
Honda,Honda BR-V i-VTEC S MT,900000,5000
Hyundai,Hyundai i20 Magna 1.2,600000,61000
